sim,seed,dist_size,k,n_rep,naive_mean,jackknife_mean,bootstrap_mean,naive_t_test,bootstrap_t_test
1,1,1000,56,100,0.004345529600203292,-0.002011315532986522,0.0008233706584308448,"Ttest_relResult(statistic=15.278144176045876, pvalue=8.675882574408062e-28)","Ttest_relResult(statistic=9.646727324303942, pvalue=6.453399857457779e-16)"
1,1,1000,56,200,0.0035281246076219784,-0.002565891882987342,8.980683521323141e-05,"Ttest_relResult(statistic=19.806087948973296, pvalue=6.0583426067797765e-49)","Ttest_relResult(statistic=12.288186896155292, pvalue=3.410977852012577e-26)"
2,1,1000,56,10,-0.0030321130758617807,-0.008916327802355146,-0.006903696090964284,"Ttest_relResult(statistic=5.211282350623949, pvalue=0.000555621870227522)","Ttest_relResult(statistic=2.385124870951075, pvalue=0.04088281051111169)"
2,1,1000,56,50,0.005856219610128179,-0.00016529127268256948,0.0024261706555808627,"Ttest_relResult(statistic=9.93073670334996, pvalue=2.534313761202583e-13)","Ttest_relResult(statistic=5.7417461718606235, pvalue=5.835683052393723e-07)"
2,1,1000,56,100,0.00807413068876268,0.0016516553975980575,0.004525272422580693,"Ttest_relResult(statistic=15.381205353190454, pvalue=5.421193291378553e-28)","Ttest_relResult(statistic=9.698031105555954, pvalue=4.987102838531513e-16)"
2,1,1000,56,200,0.007255120219988984,0.001096067188770201,0.003762291296862502,"Ttest_relResult(statistic=19.94696542707821, pvalue=2.3658077222053666e-49)","Ttest_relResult(statistic=12.241983980347504, pvalue=4.72004861999348e-26)"
1,1,2000,7,10,0.04582096678251816,0.0015577739261750877,0.01788205194116451,"Ttest_relResult(statistic=18.391039427877075, pvalue=1.8999777398925416e-08)","Ttest_relResult(statistic=7.033421837664253, pvalue=6.096029759016521e-05)"
1,1,2000,7,50,0.04966676073118727,0.0026921737484704744,0.022706237882748583,"Ttest_relResult(statistic=41.75339518908577, pvalue=5.7726475082587125e-40)","Ttest_relResult(statistic=20.172715187649672, pvalue=2.212571764368336e-25)"
1,1,2000,7,100,0.04550599425728122,-0.0018409617099412222,0.018654453839167254,"Ttest_relResult(statistic=60.2480835245388, pvalue=7.940391363903153e-80)","Ttest_relResult(statistic=29.26087035672993, pvalue=1.5689031943150621e-50)"
1,1,2000,7,200,0.04713156230485747,0.00033801888342604503,0.019844705906629644,"Ttest_relResult(statistic=84.03445663008738, pvalue=2.1180081385661944e-157)","Ttest_relResult(statistic=36.357493682575026, pvalue=7.94123753969198e-90)"
2,1,2000,7,10,0.06302809847690889,0.0166375818236294,0.03441284113080043,"Ttest_relResult(statistic=19.061478496349256, pvalue=1.386698800177729e-08)","Ttest_relResult(statistic=7.282061388008951, pvalue=4.6532141599479464e-05)"
2,1,2000,7,50,0.06690534010238346,0.017779530456435683,0.03862693674067372,"Ttest_relResult(statistic=43.029498714736086, pvalue=1.3721541970251465e-40)","Ttest_relResult(statistic=20.216660817978372, pvalue=2.0112182506127156e-25)"
2,1,2000,7,100,0.06268254864212439,0.01318896369988648,0.034720500758902956,"Ttest_relResult(statistic=62.066014126319246, pvalue=4.511648342056299e-81)","Ttest_relResult(statistic=29.17092787458522, pvalue=2.062235554955858e-50)"
2,1,2000,7,200,0.06433332026828671,0.015401707798702938,0.0357574559399447,"Ttest_relResult(statistic=86.669823103281, pvalue=5.3440429933111384e-160)","Ttest_relResult(statistic=36.55761530944224, pvalue=3.0687335704710305e-90)"
1,1,2000,14,10,0.019700639076795524,-0.004876676725791207,0.005908456827872643,"Ttest_relResult(statistic=11.636843411874253, pvalue=9.999552178755475e-07)","Ttest_relResult(statistic=8.71606630081459, pvalue=1.1089536952535806e-05)"
1,1,2000,14,50,0.022608783292120606,-0.0014153218190280548,0.008456992094334658,"Ttest_relResult(statistic=29.978204154142347, pvalue=3.524848852922249e-33)","Ttest_relResult(statistic=15.734946138247894, pvalue=8.593907674035393e-21)"
1,1,2000,14,100,0.019868658179799974,-0.004056518332511998,0.006087215024997095,"Ttest_relResult(statistic=45.291798281795394, pvalue=5.4679222659553156e-68)","Ttest_relResult(statistic=23.023584825263438, pvalue=1.5389440380365727e-41)"
1,1,2000,14,200,0.021460208578975695,-0.0023837025527212994,0.007635552879310203,"Ttest_relResult(statistic=65.11336625131378, pvalue=3.9379045217270755e-136)","Ttest_relResult(statistic=33.09712758502881, pvalue=7.45119064958197e-83)"
2,1,2000,14,10,0.03020739722869118,0.004921199807435617,0.016283723675716937,"Ttest_relResult(statistic=11.847052113683398, pvalue=8.588289096808155e-07)","Ttest_relResult(statistic=8.649494111549762, pvalue=1.1802433188447234e-05)"
2,1,2000,14,50,0.03316338805517356,0.008441238667756732,0.01874845063984687,"Ttest_relResult(statistic=30.55545518112142, pvalue=1.4503517372774598e-33)","Ttest_relResult(statistic=16.06276780757904, pvalue=3.675032289448175e-21)"
2,1,2000,14,100,0.030375768865230877,0.005753693755710939,0.016219477973101196,"Ttest_relResult(statistic=46.18885364098808, pvalue=8.556684091699755e-69)","Ttest_relResult(statistic=23.784162399803304, pvalue=1.0039415698024456e-42)"
2,1,2000,14,200,0.031984734373122145,0.007437693717748558,0.017764029533971635,"Ttest_relResult(statistic=66.44270772553516, pvalue=8.414709182562287e-138)","Ttest_relResult(statistic=33.37834115713121, pvalue=1.786774080109813e-83)"
1,1,2000,28,10,0.019483134274913827,0.007111371045582732,0.012888516872060002,"Ttest_relResult(statistic=12.086603570478184, pvalue=7.242211878600094e-07)","Ttest_relResult(statistic=7.289169767553826, pvalue=4.617886084932135e-05)"
1,1,2000,28,50,0.008174889840414675,-0.0034244189410526284,0.0014932364473928105,"Ttest_relResult(statistic=21.53476621871758, pvalue=1.2380463639885889e-26)","Ttest_relResult(statistic=12.499072200214465, pvalue=7.435356218931171e-17)"
1,1,2000,28,100,0.008749448072824247,-0.0026941876234230873,0.0019851432878691543,"Ttest_relResult(statistic=29.42388115163813, pvalue=9.57473967404175e-51)","Ttest_relResult(statistic=15.836795556575604, pvalue=6.889690387769937e-29)"
1,1,2000,28,200,0.009996579201645624,-0.001455109998015412,0.0033437159483022793,"Ttest_relResult(statistic=40.93249454201031, pvalue=7.253941892649284e-99)","Ttest_relResult(statistic=23.011014318770567, pvalue=5.548540531076192e-58)"
2,1,2000,28,10,0.025907804433072435,0.013312753192969646,0.01908819027589111,"Ttest_relResult(statistic=12.216615507136114, pvalue=6.610549689973538e-07)","Ttest_relResult(statistic=7.7376633498811715, pvalue=2.8862070818831047e-05)"
2,1,2000,28,50,0.014480850560781135,0.002662449235037745,0.007611213990279618,"Ttest_relResult(statistic=21.82867937695954, pvalue=6.775787222666874e-27)","Ttest_relResult(statistic=12.856760770089844, pvalue=2.561277041732801e-17)"
2,1,2000,28,100,0.01505448040050082,0.003392517631838125,0.008142190308417886,"Ttest_relResult(statistic=29.814353026058722, pvalue=2.959527629070634e-51)","Ttest_relResult(statistic=15.836992904621908, pvalue=6.883575372154966e-29)"
2,1,2000,28,200,0.01631254844699695,0.004643235931654177,0.009560129792757865,"Ttest_relResult(statistic=41.48032862720033, pvalue=6.784194720386922e-100)","Ttest_relResult(statistic=23.592267307961045, pvalue=1.4577645363056184e-59)"
1,1,2000,56,10,0.0054534240656328396,-0.0030463931512551613,0.0012813932418844487,"Ttest_relResult(statistic=10.179056874929975, pvalue=3.086245273629897e-06)","Ttest_relResult(statistic=7.988124953807295, pvalue=2.239903600712284e-05)"
1,1,2000,56,50,0.008246877929730782,0.0014797647645960843,0.0046340050972428085,"Ttest_relResult(statistic=15.866529804020326, pvalue=6.102144856513252e-21)","Ttest_relResult(statistic=10.96366386820898, pvalue=8.696409934943827e-15)"
1,1,2000,56,100,0.008337422826491012,0.0019310037594572527,0.004753881210381292,"Ttest_relResult(statistic=21.275552977661636, pvalue=1.0391222375793574e-38)","Ttest_relResult(statistic=14.035894550365935, pvalue=2.778710560782901e-25)"
1,1,2000,56,200,0.006291285318869589,0.00011705830628255809,0.0027101114315124207,"Ttest_relResult(statistic=30.26447248266438, pvalue=2.1311564406561024e-76)","Ttest_relResult(statistic=18.685638602770617, pvalue=1.1583327325277631e-45)"
2,1,2000,56,10,0.009191286156541167,0.0006138643807589772,0.00498051056074057,"Ttest_relResult(statistic=10.235103993017486, pvalue=2.9479579192526703e-06)","Ttest_relResult(statistic=8.010470992136614, pvalue=2.1904673531082648e-05)"
2,1,2000,56,50,0.011991534184114184,0.005154126588272491,0.008334625127777629,"Ttest_relResult(statistic=15.969993672499966, pvalue=4.668127454046315e-21)","Ttest_relResult(statistic=10.990864062620535, pvalue=7.971845280043885e-15)"
2,1,2000,56,100,0.012083098047694878,0.005608392178139252,0.008482118778796755,"Ttest_relResult(statistic=21.41997558698171, pvalue=5.986778231291235e-39)","Ttest_relResult(statistic=14.10661588983787, pvalue=1.991021850470946e-25)"
2,1,2000,56,200,0.01002951723036007,0.0037885898777745863,0.006426024711538697,"Ttest_relResult(statistic=30.471838385972944, pvalue=6.961360659138547e-77)","Ttest_relResult(statistic=18.7437446872607, pvalue=7.80262268618057e-46)"
1,42,500,7,10,0.05145892353411082,0.006971625347246479,0.027244789336581855,"Ttest_relResult(statistic=12.51714203546025, pvalue=5.370976270356033e-07)","Ttest_relResult(statistic=7.243941970811219, pvalue=4.847782515862855e-05)"
1,42,500,7,50,0.05266546353120229,0.008054325142663117,0.028367255106092216,"Ttest_relResult(statistic=22.1693656467304, pvalue=3.397082043816366e-27)","Ttest_relResult(statistic=13.582112774579132, pvalue=3.1010837447715623e-18)"
1,42,500,7,100,0.04988406536484307,0.00362896420409641,0.024559419637907653,"Ttest_relResult(statistic=30.56298412379831, pvalue=3.2242172567017372e-52)","Ttest_relResult(statistic=17.06052297608499, pvalue=3.0761439589510754e-31)"
1,42,500,7,200,0.0498641331997848,0.0030949273967490654,0.02389082327597004,"Ttest_relResult(statistic=43.64214600889943, pvalue=7.474980519040768e-104)","Ttest_relResult(statistic=24.508559410056293, pvalue=5.124794888406876e-62)"
2,42,500,7,10,0.06860021335796543,0.021951058579127825,0.042973657857934486,"Ttest_relResult(statistic=12.96435059429098, pvalue=3.9756082110065534e-07)","Ttest_relResult(statistic=7.08404897879037, pvalue=5.7666235384036765e-05)"
